Year,Day,H,M,S,Lat,Long,Magnitude,Comments
1971,107,7,0,55,48,35,2.8,
1971,140,17,25,10,42,-24,2,
1971,192,13,24,45,43,-47,1.9,Or lat -42 long -60
1972,2,22,29,40,54,101,1.9,
1972,261,14,35,55,12,46,1,
1972,341,23,8,20,51,45,1.4,
1972,344,3,50,15,-20,-80,1.2,
1973,39,22,52,10,33,35,0.8,
1973,72,7,56,30,-84,-134,3.2,
1973,171,20,22,0,-1,-71,2.2,
1973,274,3,58,0,-37,-29,1.1,
1974,54,21,16,50,36,-16,0.7,
1974,86,9,11,0,-48,-106,1.6,
1974,109,13,35,15,-37,42,0.9,
1974,149,20,42,15,,,0.6,30 degrees from station 16 on east side of station
1974,192,0,46,30,21,88,2.7,
1975,3,1,42,0,29,-98,3.2,
1975,12,3,14,10,75,40,1.7,
1975,13,0,26,20,-2,-51,1.1,
1975,44,22,3,50,-19,-26,1.4,
1975,127,6,37,5,-49,-45,1.3,
1975,147,23,29,0,3,-58,1.4,
1975,314,7,52,55,-8,64,1.8,
1976,4,11,18,55,50,30,1.8,
1976,12,8,18,5,38,44,1.1,
1976,66,10,12,40,50,-20,2.3,
1976,68,14,42,10,-19,-12,1.8,
1976,137,12,32,40,77,-10,1.5,
